"x","y"
0,0
0,0.00106304
0,0.00106303
1e-10,0.00106303
2.35e-10,0.00106303
4.1725e-10,0.00106303
6.63288e-10,0.00106303
9.95438e-10,0.00106303
1.44384e-09,0.00106303
2.04919e-09,0.00106303
2.8664e-09,0.00106303
3.96964e-09,0.00106303
5e-09,0.00106303
5.03125e-09,0.165362
5.0418e-09,0.24039
5.04892e-09,0.299994
5.05853e-09,0.396831
5.0715e-09,0.558586
5.08026e-09,0.683226
5.08617e-09,0.774724
5.09415e-09,0.911524
5.10493e-09,1.12144
5.1122e-09,1.27586
5.12202e-09,1.50702
5.12864e-09,1.6747
5.13312e-09,1.79339
5.13915e-09,1.96315
5.14731e-09,2.2106
5.15831e-09,2.58215
5.17317e-09,3.1502
5.19323e-09,4.04717
5.22031e-09,5.49212
5.25686e-09,6.1875
5.30621e-09,5.93205
5.37283e-09,5.73216
5.46277e-09,5.51206
5.58419e-09,5.22553
5.74811e-09,4.87791
5.96939e-09,4.50857
6e-09,4.46833
6.14937e-09,4.28374
6.35102e-09,4.08476
6.62324e-09,3.88527
6.80699e-09,3.78711
7e-09,3.70535
7.33489e-09,3.60367
7.78698e-09,3.52859
8e-09,3.51159
8.61033e-09,3.49657
9e-09,3.50677
9.82394e-09,3.55162
1e-08,3.5639
1.11123e-08,3.52468
1.2614e-08,3.51337
1.46412e-08,3.50747
1.73779e-08,3.50328
2e-08,3.50076
2.49877e-08,3.49826
2.99877e-08,3.49689
3e-08,3.49689
3.5e-08,3.4961
4e-08,3.49562
4.5e-08,3.49531
5e-08,3.49511
5.5e-08,3.49497
6e-08,3.49487
6.5e-08,3.49479
7e-08,3.49473
7.5e-08,3.49469
8e-08,3.49465
8.5e-08,3.49462
9e-08,3.4946
9.5e-08,3.49458
1e-07,3.49457
1.05e-07,3.49455
1.1e-07,3.49455
1.11e-07,3.37317
1.115e-07,3.33683
1.12e-07,3.32792
1.12456e-07,3.36007
1.12728e-07,3.41125
1.13e-07,3.49742
1.13248e-07,3.61775
1.13415e-07,3.72963
1.13641e-07,3.92112
1.13794e-07,4.0876
1.13897e-07,4.21922
1.14e-07,4.36607
1.14188e-07,4.68242
1.14441e-07,5.24504
1.14612e-07,5.68711
1.14728e-07,5.98104
1.14805e-07,6.13877
1.14858e-07,6.20251
1.14929e-07,6.22584
1.15e-07,6.11243
1.15129e-07,6.09697
1.15304e-07,6.09119
1.1554e-07,6.08498
1.15699e-07,6.08095
1.15914e-07,6.07575
1.16059e-07,6.07233
1.16255e-07,6.06789
1.16519e-07,6.06219
1.16698e-07,6.05847
1.16939e-07,6.05368
1.17101e-07,6.05054
1.17321e-07,6.04647
1.17617e-07,6.04126
1.17817e-07,6.03787
1.18087e-07,6.03351
1.18452e-07,6.02797
1.18698e-07,6.02438
1.1903e-07,6.01979
1.19255e-07,6.0168
1.19557e-07,6.01296
1.19966e-07,6.00808
1.2e-07,6.00768

